dt,doc_id,item,category,amount,price,discount
2025-12-02,LYT2UU4R,Освежитель воздуха,Бытовая химия,1,856,17
2025-12-02,LYT2UU4R,Косметичка,Хранение и порядок,3,623,25
2025-12-02,LYT2UU4R,Подушка,Текстиль,4,841,50
2025-12-02,DJ6779WG,Гель для стирки,Бытовая химия,1,626,88
2025-12-02,DJ6779WG,Чистящее средство для унитаза,Бытовая химия,7,601,42
2025-12-02,GVJG2264,Сушилка для посуды,Хранение и порядок,10,170,14
2025-12-02,GVJG2264,Салфетки для уборки,Бытовая химия,4,970,10
2025-12-02,GVJG2264,Косметичка,Хранение и порядок,8,630,63
2025-12-02,GVJG2264,Мерный стакан,Кухонная утварь,10,345,3
2025-12-02,967SX0IA,Салфетки для уборки,Бытовая химия,4,467,65
2025-12-02,967SX0IA,Контейнер,Посуда,1,986,108
2025-12-02,FV8G2I9D,Бокал,Посуда,3,489,20
2025-12-02,FV8G2I9D,Пододеяльник,Текстиль,9,621,37
2025-12-02,FV8G2I9D,Капсулы для стирки,Бытовая химия,10,475,28
2025-12-02,FV8G2I9D,Сушилка для белья,Хранение и порядок,2,968,29
2025-12-02,HPPN66B5,Корзина,Хранение и порядок,6,700,35
2025-12-02,815IUQLH,Отбеливатель,Бытовая химия,10,278,33
2025-12-02,815IUQLH,Сушилка для посуды,Хранение и порядок,8,727,0
2025-12-02,815IUQLH,Тарелка,Посуда,10,316,13
2025-12-02,YGMM3PHN,Коврик,Текстиль,3,923,102
2025-12-02,YGMM3PHN,Разделочная доска,Кухонная утварь,1,660,73
2025-12-02,YGMM3PHN,Органайзер,Хранение и порядок,10,828,66
2025-12-02,IRE3IEDW,Чистящее средство для посуды,Бытовая химия,1,426,17
2025-12-02,IRE3IEDW,Чистящее средство для унитаза,Бытовая химия,1,935,75
2025-12-02,IRE3IEDW,Миска,Посуда,9,940,9
